no_rooms,sqm,yield_on_mortgage_credit_bonds%,price_usd_log,house_age,year,quarter_num,house_type_Farm,house_type_Summerhouse,house_type_Townhouse,house_type_Villa,region_Fyn & islands,region_Jutland,region_Zealand,sales_type_family_sale,sales_type_other_sale,sales_type_regular_sale,"area_Capital, Copenhagen",area_East & mid jutland,area_Fyn & islands,area_North Zealand,area_North jutland,area_Other islands,area_South jutland
3.0,74.0,4.34,12.822611422769967,5.0,2024,3,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False
2.0,39.0,4.34,12.031725210748633,125.0,2024,3,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
3.0,116.0,4.34,11.596816144310951,104.0,2024,3,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
4.0,127.0,4.34,12.307053082633972,31.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True
5.0,160.0,4.34,12.492194751867263,175.0,2024,3,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False
2.0,54.0,4.34,11.990717436189177,59.0,2024,3,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False
6.0,149.0,4.34,13.199326270390594,113.0,2024,3,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
2.0,125.0,4.34,13.097047620699986,75.0,2024,3,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
3.0,78.0,4.34,12.486545040604772,54.0,2024,3,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False
7.0,246.0,4.34,11.784866799472464,125.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True
5.0,133.0,4.34,12.180759965737863,40.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False
9.0,180.0,4.34,12.018241941212413,164.0,2024,3,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
6.0,133.0,4.34,11.026808713825016,128.0,2024,3,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
4.0,97.0,4.34,12.340389354712912,156.0,2024,3,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
4.0,99.0,4.34,13.849912950864715,5.0,2024,3,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False
2.0,88.0,4.34,11.695255355062795,63.0,2024,3,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
8.0,237.0,4.34,12.141539457711714,34.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True
10.0,403.0,4.34,12.38212878217386,125.0,2024,3,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False
4.0,95.0,4.34,12.096542337246863,143.0,2024,3,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False
4.0,75.0,4.34,11.297018168695637,54.0,2024,3,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False
3.0,108.0,4.34,12.313809834660802,70.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True
1.0,38.0,4.34,12.157412722878947,54.0,2024,3,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False
3.0,107.0,4.34,12.419169901386761,16.0,2024,3,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
4.0,126.0,4.34,14.159579580087364,108.0,2024,3,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False
6.0,149.0,4.34,12.289958727201455,86.0,2024,3,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
4.0,134.0,4.34,12.180759965737863,55.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False
4.0,137.0,4.34,12.981377986921656,44.0,2024,3,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False
4.0,111.0,4.34,11.784866799472464,91.0,2024,3,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
2.0,60.0,4.34,10.645448706505872,50.0,2024,3,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False
5.0,116.0,4.34,12.946225064894298,57.0,2024,3,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False
3.0,76.0,4.34,11.630717389475995,51.0,2024,3,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
3.0,50.0,4.34,11.637361873328372,27.0,2024,3,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
5.0,174.0,4.34,12.965711906537503,25.0,2024,3,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
4.0,110.0,4.34,12.793862088206213,4.0,2024,3,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True
5.0,119.0,4.34,13.017005083966255,20.0,2024,3,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False
3.0,84.0,4.34,13.031893663619357,71.0,2024,3,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False
3.0,68.0,4.34,13.049794835104816,115.0,2024,3,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
5.0,115.0,4.34,12.040614105490253,175.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False
6.0,215.0,4.34,13.24014819083691,55.0,2024,3,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False
3.0,150.0,4.34,13.199326270390594,24.0,2024,3,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False
4.0,151.0,4.34,12.611541086966115,107.0,2024,3,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False
4.0,110.0,4.34,12.289958727201455,55.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False
4.0,102.0,4.34,13.049794835104816,63.0,2024,3,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False
5.0,126.0,4.34,12.557612929636498,55.0,2024,3,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False
4.0,117.0,4.34,12.834683971615659,48.0,2024,3,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
4.0,106.0,4.34,12.058158312538197,20.0,2024,3,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
6.0,173.0,4.34,11.918397239722838,95.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True
1.0,35.0,4.34,12.013706813470414,69.0,2024,3,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False
2.0,73.0,4.34,11.274046255019954,78.0,2024,3,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False
5.0,182.0,4.34,12.013706813470414,33.0,2024,3,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True
5.0,125.0,4.34,11.784866799472464,98.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True
3.0,118.0,4.34,12.460718739865236,96.0,2024,3,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
3.0,62.0,4.34,12.036179534643145,51.0,2024,3,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False
4.0,130.0,4.34,12.804224846604955,2.0,2024,3,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False
5.0,114.0,4.34,12.611541086966115,86.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False
2.0,83.0,4.34,13.246792721782237,108.0,2024,3,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
5.0,204.0,4.34,13.081543466215237,95.0,2024,3,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
5.0,164.0,4.34,12.356649805075568,66.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False
4.0,90.0,4.34,12.403902491415781,60.0,2024,3,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False
4.0,150.0,4.34,12.323860125621126,132.0,2024,3,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
5.0,98.0,4.34,13.83531416565213,67.0,2024,3,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False
4.0,102.0,4.34,12.955129822091815,2.0,2024,3,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False
3.0,80.0,4.34,11.967187086434018,38.0,2024,3,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False
4.0,120.0,4.34,13.02860419418272,76.0,2024,3,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False
7.0,272.0,4.34,12.419169901386761,65.0,2024,3,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
2.0,57.0,4.34,13.025303868415518,92.0,2024,3,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False
